Player Name          Place     RD1  RD2  RD3  RD4  TOTAL     Money Won
P 57                 33        36   93   67   40   236       $     0.00
P 22                 34        63   56   39   80   238       $     0.00
P 67                 35        22   55   96   66   239       $     0.00
P 47                 36        33   56   54   97   240       $     0.00
P 23                 37        59   91   68   30   248       $     0.00
P 33                 38        73   79   10   93   255       $     0.00
P 37*                39        71   76   95   20   262       $     0.00
P 25                 40        91   74   32   66   263       $     0.00
P 19                 41        78   42   79   71   270       $     0.00
P 35                 42        87   53   53   93   286       $     0.00
P 26                 43        97   38   95   88   318       $     0.00
P 71                 44        90   96   74   95   355       $     0.00

Player Name          Place     RD1  RD2  RD3  RD4  TOTAL     Money Won
-----------------------------------------------------------------------
P 90*                1         15   16   37   40   108       $     0.00
P 16*                2         36   18   22   34   110       $     0.00
P 27                 2         41   29   14   26   110       $     0.00
P 91*                4         95   10   14   11   130       $     0.00
P 75                 5         33   53   23   22   131       $     0.00
P 25                 6         50   10   54   28   142       $     0.00
P101                 6         10   11   82   39   142       $     0.00
P 82*                8         19   27   74   23   143       $     0.00
P  8*                9         57   19   30   40   146       $     0.00
P 89                 9         12   56   39   39   146       $     0.00
P 70                 11        30   22   13   82   147       $     0.00
P 13                 12        58   42   36   18   154       $     0.00
P 52                 13        91   14   32   25   162       $     0.00
P  2                 14        49   51   23   42   165       $     0.00
P 19                 15        86   47   10   23   166       $     0.00
P 21*                16        77   62   15   13   167       $     0.00
P 60                 16        18   59   56   34   167       $     0.00
P  6                 18        14   74   20   63   171       $     0.00
P 45                 18        50   33   59   29   171       $     0.00
P 85*                20        49   76   18   36   179       $     0.00
P 26                 21        46   52   55   27   180       $     0.00
P 34                 21        22   16   59   83   180       $     0.00
P107                 23        41   52   30   61   184       $     0.00
P 74                 24        51   25   34   76   186       $     0.00
P 98                 25        16   83   55   33   187       $     0.00
P 54                 26        21   75   42   53   191       $     0.00
P 71                 27        15   35   79   66   195       $     0.00
P 76                 28        73   14   62   49   198       $     0.00
P  1                 29        51   29   80   39   199       $     0.00
P 36                 29        49   65   17   68   199       $     0.00
P 58*                31        51   59   16   74   200       $     0.00
P 37*                32        90   22   51   41   204       $     0.00
P 39                 32        65   36   50   53   204       $     0.00
P 53                 34        11   95   72   28   206       $     0.00
P 48                 35        13   96   38   68   215       $     0.00
P 55                 36        81   58   66   12   217       $     0.00
P 29                 37        34   50   65   76   225       $     0.00
P 51                 37        43   87   33   62   225       $     0.00
P 38*                39        12   49   97   71   229       $     0.00
P 15                 40        40   57   54   80   231       $     0.00
P 61                 41        95   45   64   30   234       $     0.00
P 14                 42        34   64   85   52   235       $     0.00
P 23*                42        64   63   60   48   235       $     0.00
P 18                 44        26   95   24   94   239       $     0.00
P 69*                44        29   79   85   46   239       $     0.00
P 84                 46        74   30   81   55   240       $     0.00
P114                 46        29   96   21   94   240       $     0.00
P 35                 48        21   60   69   95   245       $     0.00
P113                 49        71   49   32   94   246       $     0.00
P 78                 50        96   24   57   70   247       $     0.00
P 47                 51        31   71   89   60   251       $     0.00
P 20                 52        49   51   73   80   253       $     0.00
P  9                 53        37   75   87   60   259       $     0.00
P 22                 54        65   57   51   92   265       $     0.00
P 93                 55        92   50   67   63   272       $     0.00
P 62                 56        42   90   83   60   275       $     0.00
P 99*                57        46   85   74   81   286       $     0.00
P 73                 58        67   40   85   95   287       $     0.00
P 79*                59        45   80   85   82   292       $     0.00

Player Name          Place     RD1  RD2  RD3  RD4  TOTAL     Money Won
-----------------------------------------------------------------------
P 37                 1         18   31   24   74   147       $     0.00
P 42*                2         10   73   22   49   154       $     0.00
P 11                 3         72   59   15   10   156       $     0.00
P 35                 4         40   23   15   86   164       $     0.00
P 31                 5         37   60   65   20   182       $     0.00
P 40                 6         85   17   35   46   183       $     0.00
P 14                 7         78   24   66   24   192       $     0.00
P 43                 8         53   28   69   47   197       $     0.00
P 20                 9         51   25   64   58   198       $     0.00
P 12                 10        43   14   85   61   203       $     0.00
P 44                 11        16   81   94   15   206       $     0.00
P 19                 12        41   19   65   90   215       $     0.00
P  9                 13        77   45   21   87   230       $     0.00
P 22*                14        53   71   41   67   232       $     0.00
P 28                 15        80   54   70   29   233       $     0.00
P 33*                15        77   31   61   64   233       $     0.00
P 24*                17        41   27   77   89   234       $     0.00
P 26*                18        99   29   37   83   248       $     0.00
P 45*                18        22   88   84   54   248       $     0.00
P 25                 20        67   40   93   56   256       $     0.00
P 10*                21        51   49   82   80   262       $     0.00
P 15*                21        53   66   48   95   262       $     0.00
P  1                 23        76   63   62   68   269       $     0.00
P 32                 24        21   82   83   96   282       $     0.00
P  3*                25        22   96   77   91   286       $     0.00
P  5*                26        89   87   89   33   298       $     0.00
P 47                 27        96   92   40   85   313       $     0.00
P 46                 28        94   75   74   90   333       $     0.00

Player Name          Place     RD1  RD2  RD3  RD4  TOTAL     Money Won
-----------------------------------------------------------------------
P 36                 1         15   20   47   40   122       $     0.00
P 32*                2         25   24   22   57   128       $     0.00
P 47                 3         47   12   42   33   134       $     0.00
P  8                 4         65   30   41   18   154       $     0.00
P  2                 5         22   30   81   25   158       $     0.00
P 46                 6         65   60   31   13   169       $     0.00
P 29                 7         30   46   15   79   170       $     0.00
P 27                 8         80   26   22   46   174       $     0.00
P 24                 9         76   35   32   32   175       $     0.00
P 48                 10        85   10   58   32   185       $     0.00
P 42                 11        12   59   46   75   192       $     0.00
P  7                 12        81   65   44   21   211       $     0.00
P 49                 13        28   97   33   55   213       $     0.00
P 33                 14        62   31   96   25   214       $     0.00
P  9                 15        10   95   72   38   215       $     0.00
P 35                 16        13   95   92   18   218       $     0.00
P 21                 17        14   78   36   92   220       $     0.00
P 31                 17        72   13   57   78   220       $     0.00
P 43                 19        61   81   16   66   224       $     0.00
P 25*                20        97   56   28   44   225       $     0.00
P 40                 20        47   35   98   45   225       $     0.00
P 28                 22        94   51   47   34   226       $     0.00
P 20                 23        98   35   72   22   227       $     0.00
P 16                 24        96   49   18   68   231       $     0.00
P 51*                25        62   47   70   63   242       $     0.00
P 23                 26        50   90   47   60   247       $     0.00
P 18                 27        60   82   36   72   250       $     0.00
P  3                 28        83   73   53   42   251       $     0.00
P 22*                29        52   38   76   94   260       $     0.00
P 50                 30        81   71   31   79   262       $     0.00
P 26                 31        27   72   97   73   269       $     0.00
P 52                 32        98   22   97   53   270       $     0.00
P 13                 33        49   87   97   45   278       $     0.00
P 34                 33        70   59   57   92   278       $     0.00
P 39                 35        79   30   78   93   280       $     0.00
P 15                 36        20   93   89   79   281       $     0.00
P 41                 37        82   79   60   63   284       $     0.00
P 45                 38        92   98   98   16   304       $     0.00
P 17                 39        92   62   65   92   311       $     0.00

Player Name          Place     RD1  RD2  RD3  RD4  TOTAL     Money Won
-----------------------------------------------------------------------
P 13                 1         42   24   10   29   105       $     0.00
P 14                 2         18   31   32   26   107       $     0.00
P 41                 2         37   16   37   17   107       $     0.00
P 84                 4         75   18   18   21   132       $     0.00
P 79                 5         15   22   37   69   143       $     0.00
P 70                 6         26   87   26   18   157       $     0.00
P  2                 7         35   32   29   66   162       $     0.00
P  1                 8         50   23   23   70   166       $     0.00
P  7                 9         96   22   32   17   167       $     0.00
P  6*                10        27   52   19   71   169       $     0.00
P 33                 11        36   12   65   57   170       $     0.00
P 77                 12        15   92   28   42   177       $     0.00
P 82                 13        30   65   68   16   179       $     0.00
P 44*                14        22   33   92   38   185       $     0.00
P 73*                15        34   29   82   45   190       $     0.00
P 15                 16        57   73   48   15   193       $     0.00
P 27                 17        47   59   47   42   195       $     0.00
P 74                 18        57   58   56   27   198       $     0.00
P 25*                19        11   35   87   66   199       $     0.00
P 19                 20        51   23   57   71   202       $     0.00
P 64                 20        36   32   71   63   202       $     0.00
P 69                 22        60   94   26   24   204       $     0.00
P 59*                23        70   45   63   27   205       $     0.00
P 49                 24        86   63   19   38   206       $     0.00
P 26                 25        64   51   37   62   214       $     0.00
P 50                 26        31   93   60   33   217       $     0.00
P 18*                27        31   93   52   42   218       $     0.00
P 54                 28        71   30   83   37   221       $     0.00
P 63*                28        74   53   10   84   221       $     0.00
P 67                 28        73   21   95   32   221       $     0.00
P 78                 31        50   13   88   71   222       $     0.00
P 80                 32        31   92   69   33   225       $     0.00
P 83                 32        79   62   14   70   225       $     0.00
P 28                 34        63   98   46   23   230       $     0.00
P 36                 35        12   96   97   34   239       $     0.00
P 43                 35        83   60   86   10   239       $     0.00
P 72*                35        19   81   52   87   239       $     0.00
P 75                 38        51   64   81   49   245       $     0.00
P 16*                39        36   56   81   75   248       $     0.00
P 17                 39        31   79   71   67   248       $     0.00
P 89*                39        76   32   61   79   248       $     0.00
P 88                 42        45   97   54   55   251       $     0.00
P 65                 43        44   72   77   59   252       $     0.00
P  9                 44        74   56   90   37   257       $     0.00
P 12                 45        63   94   50   52   259       $     0.00
P 32                 45        77   49   95   38   259       $     0.00
P 52                 47        89   25   60   88   262       $     0.00
P 81                 48        87   61   92   24   264       $     0.00
P  4                 49        64   82   77   42   265       $     0.00
P 86                 50        25   78   70   97   270       $     0.00
P  5                 51        55   82   91   43   271       $     0.00
P 71                 51        13   96   87   75   271       $     0.00
P 24*                53        23   75   95   80   273       $     0.00
P 37*                54        25   89   79   86   279       $     0.00
P 57                 54        56   56   76   91   279       $     0.00
P 48                 56        59   77   94   94   324       $     0.00
P 85                 57        69   95   77   84   325       $     0.00

Player Name          Place     RD1  RD2  RD3  RD4  TOTAL     Money Won
-----------------------------------------------------------------------
P 99                 1         21   25   17   19   82        $     0.00
P109                 2         20   16   30   19   85        $     0.00
P 61                 3         34   20   15   49   118       $     0.00
P133                 3         36   45   24   13   118       $     0.00
P101                 5         48   52   19   21   140       $     0.00
P 82*                6         61   42   34   13   150       $     0.00
P 29*                7         30   24   45   63   162       $     0.00
P107*                8         69   17   38   39   163       $     0.00
P 14                 9         36   10   75   43   164       $     0.00
P 33                 10        44   48   20   53   165       $     0.00
P 69                 11        42   31   74   20   167       $     0.00
P 19*                12        41   14   93   21   169       $     0.00
P131                 13        25   76   49   22   172       $     0.00
P 65                 14        77   45   21   30   173       $     0.00
P 85                 15        87   38   27   23   175       $     0.00
P134*                16        26   11   93   49   179       $     0.00
P 92*                17        12   67   70   34   183       $     0.00
P 45                 18        14   63   52   56   185       $     0.00
P 96*                18        69   32   74   10   185       $     0.00
P 12                 20        80   26   11   72   189       $     0.00
P 95                 21        26   89   26   49   190       $     0.00
P 24                 22        75   46   40   30   191       $     0.00
P102*                23        16   19   95   62   192       $     0.00
P 81*                24        67   14   92   22   195       $     0.00
P 41                 25        57   40   55   46   198       $     0.00
P135*                26        64   21   40   74   199       $     0.00
P 18*                27        17   83   17   90   207       $     0.00
P 51*                27        54   38   83   32   207       $     0.00
P117*                29        25   68   78   37   208       $     0.00
P 21*                30        23   45   83   60   211       $     0.00
P 68                 30        32   23   74   82   211       $     0.00
P 60                 32        66   41   66   39   212       $     0.00
P119                 33        70   55   62   26   213       $     0.00
P 46                 34        52   20   83   62   217       $     0.00
P 78*                34        90   10   76   41   217       $     0.00
P115*                34        17   79   22   99   217       $     0.00
P136*                34        56   31   54   76   217       $     0.00
P 93                 38        31   17   97   74   219       $     0.00
P 53                 39        28   79   89   27   223       $     0.00
P 25                 40        26   73   92   37   228       $     0.00
P 48                 41        18   56   64   92   230       $     0.00
